t	frame	dy	scrollpos	err	top	mid	bot
0.042	1	69	69	16.08	70	63	-57
0.083	2	0	69	0.09	0	0	0
0.125	3	2	71	0.15	0	2	0
0.167	4	3	74	0.34	0	-3	0
0.209	5	-3	71	0.42	0	-3	0
0.250	6	-4	67	0.63	0	-4	0
0.292	7	2	69	0.59	0	2	0
0.334	8	3	72	0.76	0	3	0
0.375	9	-1	71	0.64	0	-1	0
0.417	10	2	73	0.79	0	2	0
0.459	11	0	73	0.51	0	0	0
0.501	12	-1	72	0.64	0	-1	0
0.542	13	0	72	0.35	0	0	0
0.584	14	0	72	0.36	0	0	0
0.626	15	0	72	0.18	0	0	0
0.667	16	0	72	0.19	0	0	0
0.709	17	0	72	0.14	0	0	0
0.751	18	0	72	0.23	0	0	0
0.792	19	0	72	0.13	0	0	0
0.834	20	0	72	0.15	0	0	0
0.876	21	0	72	0.09	0	0	0
0.918	22	0	72	0.10	0	0	0
0.959	23	0	72	0.06	0	0	0
1.001	24	0	72	0.08	0	0	0
1.043	25	0	72	0.04	0	0	0
1.084	26	0	72	0.05	0	0	0
1.126	27	0	72	0.03	0	0	0
1.168	28	0	72	0.03	0	0	0
1.210	29	0	72	0.02	0	0	0
1.251	30	0	72	0.08	0	0	0
1.293	31	0	72	0.14	0	0	0
1.335	32	0	72	0.32	0	0	0
1.376	33	0	72	0.32	0	0	0
1.418	34	0	72	0.68	0	0	0
1.460	35	0	72	0.66	0	0	0
1.502	36	0	72	1.48	0	0	0
1.543	37	0	72	1.54	0	0	0
1.585	38	0	72	2.93	0	67	0
1.627	39	0	72	3.02	0	0	0
1.668	40	0	72	4.11	13	66	-34
1.710	41	0	72	3.64	14	68	0
1.752	42	1	73	4.41	14	67	0
1.793	43	0	73	3.43	0	0	0
1.835	44	0	73	4.45	0	0	0
1.877	45	0	73	3.13	-6	0	1
1.919	46	0	73	4.15	-4	0	1
1.960	47	0	73	2.77	0	0	0
2.002	48	0	73	3.70	-12	0	1
2.044	49	0	73	2.28	0	0	0
2.085	50	0	73	2.82	0	0	0
2.127	51	0	73	1.65	0	0	0
2.169	52	0	73	2.28	0	0	26
2.211	53	0	73	2.00	0	0	18
2.252	54	0	73	3.07	0	0	30
2.294	55	0	73	1.87	0	0	22
2.336	56	0	73	2.73	0	0	32
2.377	57	0	73	1.53	0	0	1
2.419	58	0	73	2.18	0	0	1
2.461	59	0	73	3.56	0	0	0
2.503	60	24	97	4.31	-1	49	0
2.544	61	15	112	0.48	0	15	0
2.586	62	20	132	0.18	0	20	0
2.628	63	12	144	0.10	12	12	0
2.669	64	16	160	0.31	16	17	0
2.711	65	10	170	0.26	10	10	0
2.753	66	13	183	0.64	13	14	0
2.794	67	8	191	0.70	8	9	0
2.836	68	11	202	1.27	10	16	0
2.878	69	6	208	1.19	6	10	1
2.920	70	9	217	1.66	8	13	1
2.961	71	7	224	1.35	5	8	0
3.003	72	10	234	1.79	7	10	1
3.045	73	5	239	1.31	4	6	0
3.086	74	7	246	1.56	5	8	0
3.128	75	4	250	1.01	3	4	0
3.170	76	5	255	1.47	3	6	0
3.212	77	3	258	0.91	2	3	0
3.253	78	3	261	1.20	3	4	0
3.295	79	2	263	0.86	1	2	0
3.337	80	2	265	1.15	2	4	0
3.378	81	1	266	0.78	1	3	0
3.420	82	1	267	1.06	1	3	0
3.462	83	0	267	0.91	0	2	0
3.504	84	0	267	1.17	0	3	0
3.545	85	0	267	1.04	0	2	0
3.587	86	0	267	1.36	0	3	0
3.629	87	0	267	1.00	0	2	0
3.670	88	0	267	1.26	0	2	0
3.712	89	0	267	0.87	0	1	0
3.754	90	0	267	1.13	0	2	0
3.795	91	0	267	0.72	0	1	0
3.837	92	0	267	0.99	0	1	0
3.879	93	0	267	0.63	0	1	0
3.921	94	0	267	0.88	0	1	-3
3.962	95	0	267	0.60	0	1	-2
4.004	96	0	267	1.06	0	1	-2
4.046	97	0	267	0.46	0	0	-1
4.087	98	0	267	0.67	0	1	-2
4.129	99	0	267	0.42	0	0	-1
4.171	100	0	267	0.43	0	0	-1
4.213	101	0	267	0.30	0	0	0
4.254	102	0	267	0.38	0	0	0
4.296	103	0	267	0.21	0	0	0
4.338	104	0	267	0.28	0	0	0
4.379	105	0	267	0.13	0	0	0
4.421	106	0	267	0.16	0	0	0
4.463	107	0	267	0.10	0	0	0
4.505	108	0	267	0.11	0	0	0
4.546	109	0	267	0.04	0	0	0
4.588	110	0	267	0.04	0	0	0
4.630	111	0	267	0.03	0	0	0
4.671	112	0	267	0.02	0	0	0
4.713	113	0	267	0.04	0	0	0
4.755	114	0	267	0.06	0	0	0
4.796	115	0	267	0.07	0	0	0
4.838	116	0	267	0.12	0	0	0
4.880	117	0	267	0.08	0	0	0
4.922	118	0	267	0.17	0	0	0
4.963	119	0	267	0.13	0	0	0
5.005	120	0	267	0.34	0	0	0
5.047	121	0	267	0.10	0	0	0
5.088	122	0	267	0.13	0	0	0
5.130	123	0	267	0.08	0	0	0
5.172	124	0	267	0.08	0	0	0
5.214	125	0	267	0.07	0	0	0
5.255	126	0	267	0.09	0	0	0
5.297	127	0	267	0.05	0	0	0
5.339	128	0	267	0.08	0	0	0
5.380	129	0	267	0.07	0	0	0
5.422	130	0	267	0.06	0	0	0
5.464	131	0	267	0.07	0	0	0
5.506	132	0	267	0.09	0	0	0
5.547	133	0	267	0.07	0	0	0
5.589	134	0	267	0.09	0	0	0
5.631	135	0	267	0.07	0	0	0
5.672	136	0	267	0.10	0	0	0
5.714	137	0	267	0.08	0	0	0
5.756	138	0	267	0.11	0	0	0
5.797	139	0	267	0.09	0	0	0
5.839	140	0	267	0.11	0	0	0
5.881	141	0	267	0.09	0	0	0
5.923	142	0	267	0.13	0	0	0
5.964	143	0	267	0.09	0	0	0
6.006	144	0	267	0.60	0	0	0
6.048	145	0	267	0.11	0	0	0
6.089	146	0	267	0.16	0	0	0
6.131	147	0	267	0.12	0	0	0
6.173	148	0	267	0.16	0	0	0
6.215	149	0	267	0.11	0	0	0
6.256	150	0	267	0.16	0	0	0
6.298	151	0	267	0.11	0	0	0
6.340	152	0	267	0.17	0	0	0
6.381	153	0	267	0.12	0	0	0
6.423	154	0	267	0.16	0	0	0
6.465	155	0	267	0.13	0	0	0
6.507	156	0	267	0.18	0	0	0
6.548	157	0	267	0.13	0	0	0
6.590	158	0	267	0.21	0	0	0
6.632	159	0	267	0.15	0	0	0
6.673	160	0	267	0.21	0	0	0
6.715	161	0	267	0.18	0	0	0
6.757	162	0	267	0.22	0	0	0
6.798	163	0	267	0.18	0	0	0
6.840	164	0	267	0.27	0	0	0
6.882	165	0	267	0.18	0	0	0
6.924	166	0	267	0.24	0	0	0
6.965	167	0	267	0.17	0	0	0
7.007	168	0	267	0.24	0	0	0
7.049	169	0	267	0.19	0	0	0
7.090	170	0	267	0.24	0	0	0
7.132	171	0	267	0.15	0	0	0
7.174	172	0	267	0.20	0	0	0
7.216	173	0	267	0.13	0	0	0
7.257	174	0	267	0.20	0	0	0
7.299	175	0	267	0.13	0	0	0
7.341	176	0	267	0.23	0	0	6
7.382	177	0	267	1.66	0	0	6
7.424	178	0	267	7.97	0	0	10
7.466	179	0	267	7.20	0	0	9
7.508	180	18	285	9.77	0	0	18
7.549	181	16	301	9.61	0	0	16
7.591	182	30	331	11.07	0	0	30
7.633	183	25	356	9.81	0	0	24
7.674	184	43	399	10.53	0	43	44
7.716	185	30	429	8.15	0	30	30
7.758	186	41	470	7.86	0	41	7
7.799	187	23	493	4.74	23	23	0
7.841	188	28	521	2.69	28	28	0
